시군구,0,spread
은평구불광동,은평구불광제1동,0.3979814281384199
은평구불광동,은평구불광제2동,0.3979814281384199
은평구수색동,은평구수색동,0.4314050274515878
은평구신사동,은평구신사제1동,0.3298752469186742
은평구신사동,은평구신사제2동,0.3298752469186742
은평구역촌동,은평구역촌동,0.1952646562320376
은평구응암동,은평구응암제1동,0.3669244021246347
은평구응암동,은평구응암제2동,0.3669244021246347
은평구응암동,은평구응암제3동,0.3669244021246347
은평구증산동,은평구증산동,0.5249259054528224
은평구진관동,은평구진관동,0.4835434195003798
종로구구기동,종로구평창동,0.4157159156434957
종로구내수동,종로구사직동,0.0768458600939647
종로구누상동,종로구청운효자동,0.7697437008582528
종로구당주동,종로구사직동,0.2760796464330203
종로구동숭동,종로구이화동,0.1829635882622039
종로구명륜1가,종로구혜화동,0.4433568888058061
종로구명륜2가,종로구혜화동,0.2341047043375836
종로구무악동,종로구무악동,0.2899680353260119
종로구사직동,종로구사직동,0.4449936281540451
종로구숭인동,종로구숭인제1동,0.2606524268905923
종로구숭인동,종로구숭인제2동,0.2606524268905923
종로구신교동,종로구청운효자동,0.7567087991141486
종로구신문로1가,종로구사직동,0.3812388677902654
종로구신문로2가,종로구사직동,0.8547788272896325
종로구연건동,종로구이화동,0.8710038792668403
종로구연지동,종로구종로5.6가동,0.3700537575181641
종로구익선동,종로구종로1.2.3.4가동,0.2479681787133241
종로구인의동,종로구종로1.2.3.4가동,0.2938060642727051
종로구창신동,종로구창신제1동,0.5269642078132923
종로구창신동,종로구창신제2동,0.5269642078132923
종로구창신동,종로구창신제3동,0.5269642078132923
종로구청운동,종로구청운효자동,0.3624142471654682
종로구충신동,종로구종로5.6가동,-0.983169837333471
종로구평동,종로구교남동,0.4158591743096553
종로구평창동,종로구평창동,0.2664033306810608
종로구필운동,종로구사직동,-0.1504650207316822
종로구행촌동,종로구교남동,0.4187645908238272
종로구홍파동,종로구교남동,0.3053250211090538
종로구효제동,종로구종로5.6가동,-0.0477242035644223
중구남창동,중구회현동,0.3091269744572924
중구만리동1가,중구중림동,0.151341839174591
중구만리동2가,중구중림동,0.4430882771897612
중구묵정동,중구필동,-0.0342298986720774
중구묵정동,중구장충동,-0.0342298986720774
중구산림동,중구을지로동,1.0
중구순화동,중구소공동,0.2449566341597575
중구순화동,중구회현동,0.2449566341597575
중구신당동,중구신당동,0.3638505467356906
중구신당동,중구다산동,0.3638505467356906
중구신당동,중구약수동,0.3638505467356906
중구신당동,중구청구동,0.3638505467356906
중구신당동,중구신당제5동,0.3638505467356906
중구신당동,중구동화동,0.3638505467356906
중구예장동,중구명동,0.1917525060640772
중구예장동,중구필동,0.1917525060640772
중구오장동,중구광희동,0.0091215543150268
중구을지로5가,중구을지로동,1.0
중구인현동2가,중구광희동,-0.166610979824249
중구입정동,중구을지로동,0.3329917857893532
중구장충동1가,중구장충동,0.3899176211953736
중구장충동2가,중구필동,0.668526818452197
중구장충동2가,중구장충동,0.668526818452197
중구정동,중구소공동,0.0996114011081077
중구중림동,중구중림동,0.4672538877558564
중구충무로4가,중구필동,0.3186645760019648
중구충무로4가,중구광희동,0.3186645760019648
중구충무로5가,중구필동,-0.0631002522315062
중구충무로5가,중구광희동,-0.0631002522315062
중구황학동,중구황학동,0.1813071873504
중구회현동1가,중구회현동,-0.165714589937431
중구회현동1가,중구명동,-0.165714589937431
중구회현동2가,중구회현동,0.066731140475045
중구회현동2가,중구명동,0.066731140475045
중구흥인동,중구신당동,-0.0838096124233576
중랑구망우동,중랑구망우본동,0.2847308611971731
중랑구망우동,중랑구망우제3동,0.2847308611971731
중랑구면목동,중랑구면목제2동,0.3410344490475064
중랑구면목동,중랑구면목제4동,0.3410344490475064
중랑구면목동,중랑구면목제5동,0.3410344490475064
중랑구면목동,중랑구면목본동,0.3410344490475064
중랑구면목동,중랑구면목제7동,0.3410344490475064
중랑구면목동,중랑구면목제3.8동,0.3410344490475064
중랑구묵동,중랑구묵제1동,0.3071126581177601
중랑구묵동,중랑구묵제2동,0.3071126581177601
중랑구상봉동,중랑구상봉제1동,0.2133065237055399
중랑구상봉동,중랑구상봉제2동,0.2133065237055399
중랑구신내동,중랑구신내1동,0.3279083864133733
중랑구신내동,중랑구신내2동,0.3279083864133733
중랑구중화동,중랑구중화제1동,0.3466593584235132
중랑구중화동,중랑구중화제2동,0.3466593584235132
강서구개화동,강서구방화제2동,1.0
강서구외발산동,강서구발산제1동,-0.0578732180368117
광진구능동,광진구능동,-0.967888793260388
구로구궁동,구로구수궁동,-0.5892699119976432
마포구구수동,마포구신수동,0.0142621914843078
마포구당인동,마포구서강동,0.7382234132602759
서대문구옥천동,서대문구천연동,0.4811984579075787
성북구동선동2가,성북구동선동,0.0269238957801358
성북구동선동3가,성북구동선동,-0.6165113548078196
성북구동선동5가,성북구동선동,-0.4002467995832193
성북구동소문동1가,성북구성북동,0.3105289478258095
성북구동소문동6가,성북구동선동,-3.135572604078062
성북구보문동5가,성북구보문동,0.4176241993323419
성북구보문동7가,성북구보문동,-0.421731473249278
성북구삼선동1가,성북구삼선동,0.5814034947399794
성북구삼선동5가,성북구삼선동,0.4879870070057632
성북구성북동,성북구성북동,-0.225753312421101
성북구안암동2가,성북구안암동,-0.0131936658345028
성북구안암동4가,성북구안암동,0.4768311891946978
영등포구영등포동6가,영등포구영등포동,0.250020642314778
용산구갈월동,용산구남영동,0.8512838601805923
용산구남영동,용산구남영동,0.8461254727159172
용산구동빙고동,용산구서빙고동,0.6516559543190064
용산구서계동,용산구청파동,0.7320793603842015
용산구신창동,용산구원효로제2동,0.2684991030180373
용산구주성동,용산구서빙고동,0.9427146921795828
용산구청파동2가,용산구청파동,0.5527125666113226
종로구계동,종로구가회동,0.3576659587949472
종로구명륜3가,종로구혜화동,-0.4406860754067876
종로구부암동,종로구부암동,-1.1043736004343565
종로구신영동,종로구부암동,-0.6496842078167955
종로구옥인동,종로구청운효자동,0.5230629561839095
종로구원서동,종로구가회동,0.2825155539780566
종로구이화동,종로구이화동,-0.0034870259230856
종로구혜화동,종로구혜화동,-1.2434153625809945
종로구홍지동,종로구부암동,0.5050007040846434
종로구효자동,종로구청운효자동,0.4496058350370903
중구남산동2가,중구명동,0.203745184593411
중구쌍림동,중구광희동,0.3811257397934491
중구을지로6가,중구광희동,0.2569061409903865
중구필동3가,중구필동,0.007759898367027
서대문구미근동,서대문구충현동,-inf
성북구동선동1가,성북구동선동,-inf
성북구보문동1가,성북구보문동,-inf
영등포구문래동4가,영등포구문래동,-inf
종로구견지동,종로구종로1.2.3.4가동,-inf
종로구교북동,종로구교남동,-inf
종로구낙원동,종로구종로1.2.3.4가동,-inf
종로구수송동,종로구종로1.2.3.4가동,-inf
종로구통인동,종로구청운효자동,-inf
중구남대문로5가,중구회현동,-inf
중구필동1가,중구필동,-inf
서대문구대신동,서대문구신촌동,-inf
서대문구봉원동,서대문구신촌동,-inf
서대문구신촌동,서대문구신촌동,-inf
서초구염곡동,서초구내곡동,-inf
영등포구문래동1가,영등포구문래동,-inf
용산구용산동3가,용산구한강로동,-inf
종로구관수동,종로구종로1.2.3.4가동,-inf
종로구누하동,종로구청운효자동,-inf
종로구명륜4가,종로구혜화동,-inf
종로구체부동,종로구사직동,-inf
중구광희동2가,중구광희동,-inf
중구필동2가,중구필동,-inf
