,density
송파구오륜동,5616
송파구오금동,23053
송파구송파1동,30390
송파구송파2동,35749
송파구석촌동,33265
송파구삼전동,31486
송파구가락본동,22905
송파구가락1동,20538
송파구가락2동,32990
송파구문정1동,35564
송파구문정2동,13110
송파구잠실본동,30168
송파구잠실4동,13604
송파구잠실6동,5990
송파구잠실7동,15712
송파구잠실2동,15998
송파구잠실3동,22915
송파구장지동,21242
송파구위례동,17495
강동구소계,18871
강동구명일1동,42034
강동구명일2동,17863
강동구고덕1동,15840
강동구고덕2동,9106
강동구암사2동,12770
강동구암사3동,6965
강동구천호1동,37563
강동구천호3동,33771
강동구성내1동,34310
강동구성내2동,35116
강동구성내3동,32494
강동구둔촌1동,79
강동구둔촌2동,15562
강동구암사1동,33599
강동구천호2동,21545
강동구길동,28183
강동구강일동,14627
강동구상일1동,21526
강동구상일2동,10948
