행정구역,elder_ratio
광진구군자동,0.1690632489319579
광진구중곡1동,0.17597581811013274
광진구중곡2동,0.17263464337700146
광진구중곡3동,0.19240040598832783
광진구중곡4동,0.20180134558344787
광진구능동,0.15439259059437102
광진구광장동,0.1219147125289819
광진구자양1동,0.1722662296276063
광진구자양2동,0.18203699011907779
광진구자양3동,0.17033693019158774
광진구자양4동,0.20356439642550614
광진구구의1동,0.14803651395108508
광진구구의2동,0.18296615767183433
광진구구의3동,0.16336420417833297
동대문구,0.19399070443502775
동대문구용신동,0.16957326451343813
동대문구제기동,0.24636876281613124
동대문구전농1동,0.19456093941544617
동대문구전농2동,0.2162416330143276
동대문구답십리1동,0.15388191538819154
동대문구답십리2동,0.2150732627303061
동대문구장안1동,0.1877382380381181
동대문구장안2동,0.1743700061462815
동대문구청량리동,0.2953422911466355
동대문구회기동,0.14880153403643337
동대문구휘경1동,0.15753721636074577
동대문구휘경2동,0.1736738380686484
동대문구이문1동,0.1832159230683216
동대문구이문2동,0.21756999743128694
중랑구,0.2032043093336677
중랑구면목2동,0.20977072161466032
중랑구면목4동,0.22183233729919402
중랑구면목5동,0.17026378896882494
중랑구면목본동,0.19796985168976416
중랑구면목7동,0.2158658588135832
중랑구면목3.8동,0.22110961859404893
중랑구상봉1동,0.1811547542391071
중랑구상봉2동,0.1568240173809994
중랑구중화1동,0.21137435734350984
중랑구중화2동,0.2219439923208547
중랑구묵1동,0.1886758910847086
중랑구묵2동,0.2131759538841614
중랑구망우본동,0.19961147554829808
중랑구망우3동,0.23182885799530248
중랑구신내1동,0.19872889145678493
중랑구신내2동,0.2260944119427073
성북구,0.1859957771277454
성북구성북동,0.19383094537946569
성북구삼선동,0.1852317642831477
성북구동선동,0.1471821145784816
성북구돈암1동,0.21544374563242488
성북구돈암2동,0.1611063829787234
성북구안암동,0.14379693002857333
성북구보문동,0.16220201523715902
성북구정릉1동,0.18318385650224214
성북구정릉2동,0.21243477491819227
성북구정릉3동,0.23025221268383575
성북구정릉4동,0.21353520311078017
성북구길음1동,0.14052701225476094
성북구길음2동,0.15122578275640436
성북구종암동,0.19002983655902622
성북구월곡1동,0.19723681650126484
성북구월곡2동,0.20009445843828716
성북구장위1동,0.1841410442040712
성북구장위2동,0.24280860702151755
성북구장3동,0.14601289663538275
성북구석관동,0.22498311158104972
강북구,0.23424721269666213
강북구삼양동,0.2282382156001951
강북구미아동,0.22920438303954263
강북구송중동,0.21962308680109674
강북구송천동,0.2577464224155209
강북구삼각산동,0.15867278825176648
강북구번1동,0.21500308590024125
강북구번2동,0.2809641450223676
강북구번3동,0.3010648007301491
강북구수유1동,0.23302715654952078
강북구수유2동,0.25387296669248643
강북구수유3동,0.2154480364504231
강북구우이동,0.254527213443692
강북구인수동,0.25444596443228457
도봉구,0.2256775199844024
도봉구창1동,0.20904189133139775
도봉구창2동,0.2007423117709438
도봉구창3동,0.2349180081239657
도봉구창4동,0.1816330451488953
도봉구창5동,0.20198011529785279
도봉구도봉1동,0.30350755166931637
도봉구도봉2동,0.2711184793923738
도봉구쌍문1동,0.23701486773508398
도봉구쌍문2동,0.23277539898793304
도봉구쌍문3동,0.21900375712034906
도봉구쌍문4동,0.1892904363155575
도봉구방학1동,0.22915466589861752
도봉구방학2동,0.25319501630928826
도봉구방학3동,0.2160913395448297
노원구,0.19055419219222822
노원구월계1동,0.2127813737803111
노원구월계2동,0.2442873325260732
노원구월계3동,0.22767020612117428
노원구공릉1동,0.19678703754907925
노원구공릉2동,0.1481881968473664
노원구하계1동,0.18373379822633215
노원구하계2동,0.16576989659851213
노원구중계본동,0.11895781852863398
노원구중계1동,0.10214318285453716
노원구중계4동,0.22163629718581945
노원구중계2.3동,0.2401334925446251
노원구상계1동,0.21118146302034219
노원구상계2동,0.19137214137214137
노원구상계3.4동,0.23893967093235832
노원구상계5동,0.2332957795302886
노원구상계6.7동,0.1718016989983517
노원구상계8동,0.14472541039828068
노원구상계9동,0.1946543591824314
노원구상계10동,0.16460769779827597
