,populaion,density,foreign_rate,bsc_lvlhood_ratio,avg_income_amt,elder_ratio,label
중구소공동,3559.0,2.0,0.3798819893228435,0.0391061452513966,8.788044416456545,0.1245454545454545,0.0
중구회현동,5166.0,2.0,0.13511420828494,0.1822117276662731,8.906253059013055,0.2877208880833711,0.0
중구명동,3610.0,2.0,0.2545706371191136,0.0647632311977715,9.126148434809878,0.2749812171299775,0.0
중구필동,4905.0,2.0,0.1891946992864424,0.0418359057676685,8.447294195236562,0.2164179104477611,0.0
중구장충동,5423.0,2.0,0.1517610178867785,0.0546086956521739,8.517495812288589,0.1905902853408843,0.0
중구광희동,7113.0,1.0,0.2013215239701954,0.0602597402597402,8.295839537279921,0.1939881160433414,0.0
중구을지로동,2906.0,1.0,0.088093599449415,0.0776902887139107,8.362262107152636,0.1662667123757285,0.0
중구신당5동,10438.0,2.0,0.0325732899022801,0.0959264126149802,8.319651595212699,0.1898509230921117,0.0
중구황학동,13711.0,2.0,0.0657136605645102,0.0720623823608496,8.190778606621764,0.163979551710578,1.0
중구중림동,12269.0,2.0,0.0268155513896813,0.1084001394214011,8.188614121631561,0.1847853168341499,1.0
중구신당동,9007.0,2.0,0.1667591872987676,0.0925925925925925,8.239816942178283,0.2017708612825328,1.0
중구다산동,13886.0,2.0,0.0347832349128618,0.0741119719339278,8.319651595212699,0.2161979752530933,1.0
중구약수동,16512.0,2.0,0.0139292635658914,0.1213679609154024,8.319651595212699,0.2540133366263274,1.0
중구청구동,13361.0,2.0,0.0184866402215403,0.1241724527692556,8.319651595212699,0.2233798069557223,1.0
중구동화동,10188.0,3.0,0.0169807616804083,0.0544405418966382,8.319651595212699,0.2052235057759919,1.0
용산구후암동,16638.0,2.0,0.0294506551268181,0.1095410628019323,8.487916789296024,0.1892228237197436,1.0
용산구용산2가동,10262.0,2.0,0.1236601052426427,0.1187904967602591,8.463984379385083,0.2300736771600803,0.0
용산구남영동,7465.0,1.0,0.0672471533824514,0.2778900565885206,8.498145429137757,0.2286337209302325,1.0
용산구원효로1동,17851.0,2.0,0.0376449498627527,0.0415996569100461,8.336800173794579,0.1221374045801526,0.0
용산구원효로2동,13826.0,2.0,0.0081006798784898,0.0736977906789227,8.425194123824648,0.1788588149231894,0.0
용산구효창동,10895.0,2.0,0.0126663607159247,0.0278481012658227,8.60972679281917,0.1496026180458158,1.0
용산구용문동,11571.0,2.0,0.0096793708408953,0.0830821401657875,8.36475620903703,0.1961109173351936,0.0
용산구이촌1동,25604.0,3.0,0.0240587408217466,0.0074292581667212,8.894655179914224,0.1764399583433469,0.0
용산구이촌2동,8036.0,2.0,0.0088352414136386,0.0483602001111728,8.894655179914224,0.2295371421364611,0.0
용산구이태원1동,7990.0,2.0,0.2385481852315394,0.0731566820276497,8.884121192659089,0.2220195655778478,0.0
용산구이태원2동,10326.0,2.0,0.1620182064691071,0.0571902196435971,8.884121192659089,0.2137731481481481,0.0
용산구서빙고동,13430.0,2.0,0.0659717051377513,0.0638965111720893,8.910333999702086,0.1714833147054127,1.0
용산구보광동,13840.0,2.0,0.0976878612716763,0.1558106169296987,8.873154280621298,0.2186684073107049,1.0
용산구청파동,19800.0,2.0,0.0382828282828282,0.1020114942528735,8.398401209444657,0.1726932996473498,1.0
용산구한강로동,22839.0,2.0,0.0728578309032794,0.0361711513012792,8.728344158296348,0.1516170273213694,1.0
용산구한남동,21696.0,2.0,0.1179941002949852,0.0583905789990186,9.005143560196679,0.192727466325933,1.0
성동구왕십리2동,16572.0,2.0,0.022206130823075,0.0745518739815317,8.323746782288724,0.1685024752475247,0.0
성동구마장동,22517.0,2.0,0.0290003108762268,0.076697785099762,8.283291983449068,0.1899130274722746,1.0
성동구사근동,14080.0,1.0,0.1444602272727272,0.0311669485382942,8.42395556239401,0.1283930058284762,1.0
성동구행당1동,13994.0,2.0,0.0202229526940117,0.0654393564356435,8.560838716021092,0.1638327373567832,0.0
성동구행당2동,23083.0,2.0,0.0042022267469566,0.0930006480881399,8.560838716021092,0.1803450535051321,0.0
성동구응봉동,15014.0,3.0,0.0037964566404688,0.0386814665321224,8.549085191962563,0.1752653006740973,1.0
성동구금호1가동,15024.0,2.0,0.0057907348242811,0.1178446038772706,8.233569539091958,0.1893730217523065,0.0
성동구금호4가동,14405.0,2.0,0.0088858035404373,0.0688580775821779,8.363057844804757,0.1835398479301605,0.0
성동구성수1가1동,15895.0,2.0,0.0192513368983957,0.0690718884120171,8.81412832198007,0.1565581695133741,0.0
성동구성수1가2동,12274.0,2.0,0.0159687143555483,0.0448010698762955,8.81412832198007,0.1694647606382978,0.0
성동구성수2가1동,15321.0,2.0,0.0309379283336596,0.1056574528545595,8.64068081382227,0.2028659160696008,0.0
